country_code;country_name;year;security_index;life_expectancy;co2_emissions;urban_population_in_slums;renewable_energy;
AFG;Afghanistan;2020;5.20000;61.45;7.05;73.30;65720000;
ALB;Albania;2020;64.32000;77.82;4.56;2.80;33170000;
DZA;Algeria;2020;33.95000;73.26;171.89;13.27;791710000;
AGO;Angola;2020;12.99000;63.12;20.71;62.60;1603650000;
ATG;Antigua and Barbuda;2020;15.62000;77.16;0.28;2.65;16980000;
ARG;Argentina;2020;50.12000;75.88;170.12;14.50;8877220000;
ARM;Armenia;2020;50.47000;73.38;6.91;8.39;58800000;
AUS;Australia;2020;97.47000;83.20;392.52;0.04;44782000000;
BGD;Bangladesh;2020;81.27000;71.42;102.46;51.87;381910000;
BEL;Belgium;2020;96.25000;80.70;92.27;0.00;23200000000;
BLZ;Belize;2020;10.29000;71.58;0.22;15.73;280030000;
BEN;Benin;2020;80.06000;60.15;8.57;67.93;5340000;
BTN;Bhutan;2020;18.34000;72.25;1.74;50.43;1500000;
BIH;Bosnia and Herzegovina;2020;29.44000;76.04;22.53;0.31;320000000;
BWA;Botswana;2020;53.06000;67.64;6.09;39.60;5940000;
BRN;Brunei Darussalam;2020;56.07000;75.11;9.90;21.73;1110000;
BGR;Bulgaria;2020;67.38000;73.36;39.49;0.25;4645460000;
BFA;Burkina Faso;2020;39.98000;60.45;5.52;26.55;97560000;
BDI;Burundi;2020;1.73000;62.57;0.88;36.80;8820000;
CPV;Cabo Verde;2020;17.74000;73.82;0.98;46.68;70520000;
KHM;Cambodia;2020;19.12000;70.06;16.60;39.70;219800000;
CMR;Cameroon;2020;45.63000;61.67;10.38;32.67;164570000;
CAN;Canada;2020;97.67000;81.54;546.68;0.80;50573000000;
CAF;Central African Republic;2020;3.24000;50.60;0.30;68.91;430000;
TCD;Chad;2020;40.44000;53.08;2.14;82.00;19190000;
COL;Colombia;2020;63.72000;74.76;80.86;9.70;1950320000;
COM;Comoros;2020;3.72000;65.76;0.33;68.60;0;
COD;Congo, Dem. Rep.;2020;5.30000;60.43;3.46;78.36;-528080000;
COG;Congo, Rep.;2020;14.72000;64.39;7.37;44.18;178020000;
CRI;Costa Rica;2020;67.45000;79.73;7.18;3.55;3310900000;
CIV;Cote d'Ivoire;2020;67.82000;60.14;13.08;53.21;24700000;
HRV;Croatia;2020;92.53000;77.52;17.25;0.25;2888600000;
CUB;Cuba;2020;58.76000;77.41;21.60;10.54;816380000;
CYP;Cyprus;2020;88.82000;81.23;6.80;0.30;596660000;
CZE;Czechia;2020;74.37000;78.23;94.39;0.05;8252690000;
DNK;Denmark;2020;92.60000;81.60;27.80;0.00;23429870000;
DJI;Djibouti;2020;1.73000;64.20;0.73;51.94;600000;
DOM;Dominican Republic;2020;75.07000;72.64;26.90;11.25;1761540000;
EGY;Egypt, Arab Rep.;2020;95.48000;69.79;226.19;0.90;9202650000;
SLV;El Salvador;2020;13.30000;70.24;6.65;16.50;3373340000;
GNQ;Equatorial Guinea;2020;1.46000;62.14;4.47;64.92;-361610000;
ERI;Eritrea;2020;1.73000;66.98;0.67;51.94;23620000;
EST;Estonia;2020;99.48000;78.60;11.48;0.10;2940690000;
SWZ;Eswatini;2020;18.23000;59.86;1.16;10.81;154250000;
ETH;Ethiopia;2020;27.74000;65.97;16.88;64.31;129950000;
FJI;Fiji;2020;29.08000;66.92;1.93;9.40;123410000;
FIN;Finland;2020;95.78000;81.93;39.46;0.00;20044490000;
FRA;France;2020;97.60000;82.18;287.32;0.00;62699720000;
GAB;Gabon;2020;11.38000;67.07;5.31;44.33;-435710000;
GMB;Gambia, The;2020;32.12000;64.42;0.59;38.89;6400000;
GEO;Georgia;2020;81.07000;73.51;11.55;7.08;97000000;
DEU;Germany;2020;97.41000;81.04;642.55;0.00;232760000000;
GHA;Ghana;2020;86.69000;64.31;22.15;33.49;102570000;
GTM;Guatemala;2020;13.13000;69.97;17.64;37.60;3374130000;
GIN;Guinea;2020;20.53000;59.35;3.60;49.01;22010000;
GNB;Guinea-Bissau;2020;9.85000;61.34;0.34;60.81;1890000;
GUY;Guyana;2020;28.11000;67.75;3.33;12.14;86820000;
HTI;Haiti;2020;6.40000;63.77;3.46;48.90;61600000;
ISL;Iceland;2020;79.81000;83.06;3.03;0.00;5973650000;
IDN;Indonesia;2020;94.88000;68.82;594.26;19.41;28104200000;
IRN;Iran, Islamic Rep.;2020;81.06000;74.14;712.36;50.43;1125050000;
IRQ;Iraq;2020;20.71000;69.65;170.45;49.34;379530000;
IRL;Ireland;2020;85.86000;82.46;33.50;8.50;12535210000;
ITA;Italy;2020;96.13000;82.20;295.87;0.02;69375880000;
KAZ;Kazakhstan;2020;93.15000;71.20;224.73;0.79;2461930000;
KEN;Kenya;2020;81.70000;61.60;19.21;50.81;5485020000;
KIR;Kiribati;2020;13.84000;65.21;0.09;5.60;5430000;
KOR;Korea, Rep.;2020;98.52000;83.43;614.20;5.60;29873000000;
KWT;Kuwait;2020;75.05000;78.76;98.61;0.00;60290000;
KGZ;Kyrgyz Republic;2020;49.64000;71.80;9.31;2.44;120000;
