Step,Node_Index,R,G,B,diffR,diffG,diffB
0,0,225.448,53.897,150.734,0.0,0.0,0.0
0,1,100.797,179.831,11.391,0.0,0.0,0.0
0,2,83.376,212.205,118.235,0.0,0.0,0.0
0,3,227.706,201.163,241.263,0.0,0.0,0.0
0,4,213.7,70.293,208.671,0.0,0.0,0.0
0,5,28.115,182.196,70.676,0.0,0.0,0.0
0,6,22.401,220.088,204.538,0.0,0.0,0.0
0,7,121.982,205.568,146.832,0.0,0.0,0.0
0,8,107.078,161.814,109.102,0.0,0.0,0.0
0,9,163.3,155.207,26.886,0.0,0.0,0.0
0,10,228.808,179.698,170.867,0.0,0.0,0.0
0,11,77.108,6.194,199.535,0.0,0.0,0.0
0,12,225.625,65.621,163.115,0.0,0.0,0.0
0,13,61.215,43.262,109.945,0.0,0.0,0.0
0,14,153.183,119.007,210.162,0.0,0.0,0.0
0,15,39.418,225.465,82.796,0.0,0.0,0.0
0,16,53.911,183.608,217.593,0.0,0.0,0.0
0,17,231.149,3.761,59.258,0.0,0.0,0.0
0,18,152.901,120.953,59.71,0.0,0.0,0.0
0,19,78.778,4.49,164.446,0.0,0.0,0.0
0,20,125.021,144.579,80.832,0.0,0.0,0.0
0,21,207.955,168.178,234.306,0.0,0.0,0.0
0,22,91.915,228.833,117.565,0.0,0.0,0.0
0,23,167.46,79.151,224.345,0.0,0.0,0.0
0,24,14.784,2.133,123.432,0.0,0.0,0.0
0,25,108.162,7.277,223.642,0.0,0.0,0.0
0,26,215.319,119.041,138.59,0.0,0.0,0.0
0,27,129.295,197.392,225.984,0.0,0.0,0.0
0,28,57.866,214.431,173.032,0.0,0.0,0.0
0,29,184.384,75.631,134.803,0.0,0.0,0.0
0,30,40.964,92.08,11.195,0.0,0.0,0.0
0,31,37.189,179.409,132.282,0.0,0.0,0.0
0,32,157.394,15.891,214.074,0.0,0.0,0.0
0,33,89.645,12.932,124.122,0.0,0.0,0.0
0,34,188.432,117.733,19.68,0.0,0.0,0.0
0,35,193.401,34.985,234.023,0.0,0.0,0.0
0,36,6.724,50.81,226.222,0.0,0.0,0.0
0,37,75.608,233.903,141.575,0.0,0.0,0.0
0,38,147.173,81.789,219.965,0.0,0.0,0.0
0,39,28.869,42.961,179.955,0.0,0.0,0.0
0,40,223.623,205.556,218.216,0.0,0.0,0.0
0,41,39.524,23.357,106.869,0.0,0.0,0.0
0,42,0.074,41.29,125.563,0.0,0.0,0.0
0,43,206.868,139.554,118.203,0.0,0.0,0.0
0,44,222.271,105.47,116.43,0.0,0.0,0.0
0,45,80.262,37.514,192.953,0.0,0.0,0.0
0,46,61.052,102.924,221.589,0.0,0.0,0.0
0,47,102.012,221.504,138.521,0.0,0.0,0.0
0,48,221.829,109.322,187.115,0.0,0.0,0.0
0,49,21.303,164.705,126.29,0.0,0.0,0.0
0,50,147.351,1.371,24.179,0.0,0.0,0.0
0,51,152.354,14.128,198.081,0.0,0.0,0.0
0,52,76.859,224.595,67.816,0.0,0.0,0.0
0,53,157.473,69.442,24.363,0.0,0.0,0.0
0,54,49.908,217.736,195.078,0.0,0.0,0.0
0,55,153.181,214.662,209.882,0.0,0.0,0.0
0,56,205.541,177.655,182.149,0.0,0.0,0.0
0,57,53.176,126.517,188.685,0.0,0.0,0.0
0,58,216.255,129.847,26.853,0.0,0.0,0.0
0,59,167.226,20.388,71.669,0.0,0.0,0.0
0,60,176.833,83.629,34.325,0.0,0.0,0.0
0,61,56.741,89.055,21.841,0.0,0.0,0.0
0,62,112.448,30.682,122.958,0.0,0.0,0.0
0,63,218.921,98.67,25.732,0.0,0.0,0.0
0,64,4.851,199.421,227.394,0.0,0.0,0.0
0,65,13.439,105.614,88.983,0.0,0.0,0.0
0,66,70.681,231.726,68.815,0.0,0.0,0.0
0,67,203.791,103.238,14.351,0.0,0.0,0.0
0,68,75.408,134.691,44.049,0.0,0.0,0.0
0,69,167.636,183.284,20.321,0.0,0.0,0.0
0,70,36.568,68.734,136.963,0.0,0.0,0.0
0,71,144.737,2.98,59.282,0.0,0.0,0.0
0,72,84.172,12.513,214.655,0.0,0.0,0.0
0,73,206.377,163.438,177.313,0.0,0.0,0.0
0,74,5.802,12.522,235.252,0.0,0.0,0.0
0,75,40.205,79.204,218.553,0.0,0.0,0.0
0,76,169.062,178.117,27.254,0.0,0.0,0.0
0,77,136.696,210.356,194.011,0.0,0.0,0.0
0,78,190.648,225.666,185.065,0.0,0.0,0.0
0,79,5.716,77.024,229.74,0.0,0.0,0.0
0,80,128.216,214.883,67.483,0.0,0.0,0.0
0,81,157.935,21.981,131.504,0.0,0.0,0.0
0,82,108.621,238.438,105.896,0.0,0.0,0.0
0,83,103.365,131.131,12.721,0.0,0.0,0.0
0,84,195.431,148.078,254.461,0.0,0.0,0.0
0,85,161.937,164.218,48.517,0.0,0.0,0.0
0,86,106.706,235.6,21.248,0.0,0.0,0.0
0,87,135.733,70.001,70.189,0.0,0.0,0.0
0,88,15.47,18.467,43.122,0.0,0.0,0.0
0,89,114.364,35.556,148.599,0.0,0.0,0.0
0,90,105.072,4.174,111.796,0.0,0.0,0.0
0,91,144.607,172.489,141.477,0.0,0.0,0.0
0,92,20.34,158.36,115.452,0.0,0.0,0.0
0,93,254.953,201.522,68.702,0.0,0.0,0.0
0,94,96.501,157.397,195.661,0.0,0.0,0.0
0,95,177.725,213.761,254.149,0.0,0.0,0.0
0,96,11.32,228.473,52.56,0.0,0.0,0.0
0,97,187.86,137.646,130.007,0.0,0.0,0.0
0,98,245.475,189.172,184.369,0.0,0.0,0.0
0,99,161.609,72.442,192.399,0.0,0.0,0.0
100,0,227.341,220.14,213.851,-1.893,-166.243,-63.117
100,1,222.191,228.729,205.627,-121.394,-48.898,-194.236
100,2,227.267,228.398,210.692,-143.891,-16.193,-92.457
100,3,235.207,215.552,200.883,-7.501,-14.389,40.38
100,4,235.394,206.971,195.22,-21.694,-136.678,13.451
100,5,215.365,182.171,130.497,-187.25,0.025,-59.821
100,6,212.429,179.75,126.575,-190.028,40.338,77.963
100,7,208.374,173.475,112.833,-86.392,32.093,33.999
100,8,192.418,159.604,92.232,-85.34,2.21,16.87
100,9,191.844,155.363,70.768,-28.544,-0.156,-43.882
100,10,225.472,228.697,215.356,3.336,-48.999,-44.489
100,11,212.628,219.694,212.869,-135.52,-213.5,-13.334
100,12,214.704,219.835,208.423,10.921,-154.214,-45.308
100,13,212.155,210.62,194.806,-150.94,-167.358,-84.861
100,14,224.692,206.342,193.529,-71.509,-87.335,16.633
100,15,211.017,182.766,135.927,-171.599,42.699,-53.131
100,16,208.509,174.442,121.398,-154.598,9.166,96.195
100,17,209.708,159.226,106.799,21.441,-155.465,-47.541
100,18,202.218,136.712,85.72,-49.317,-15.759,-26.01
100,19,190.952,121.08,83.746,-112.174,-116.59,80.7
100,20,198.87,221.25,203.738,-73.849,-76.671,-122.906
100,21,206.051,222.364,209.007,1.904,-54.186,25.299
100,22,196.527,221.784,203.221,-104.612,7.049,-85.656
100,23,203.12,210.456,195.379,-35.66,-131.305,28.966
100,24,206.339,203.538,190.575,-191.555,-201.405,-67.143
100,25,194.893,181.799,154.79,-86.731,-174.522,68.852
100,26,204.34,152.435,115.828,10.979,-33.394,22.762
100,27,208.659,144.92,104.527,-79.364,52.472,121.457
100,28,193.328,133.231,87.59,-135.462,81.2,85.442
100,29,199.985,122.114,81.895,-15.601,-46.483,52.908
100,30,185.478,216.228,193.755,-144.514,-124.148,-182.56
100,31,184.64,219.908,204.346,-147.451,-40.499,-72.064
100,32,189.136,212.761,203.592,-31.742,-196.87,10.482
100,33,189.116,206.822,197.518,-99.471,-193.89,-73.396
100,34,181.303,191.668,176.498,7.129,-73.935,-156.818
100,35,187.619,168.151,161.061,5.782,-133.166,72.962
100,36,197.964,146.546,117.982,-191.24,-95.736,108.24
100,37,195.301,136.883,98.541,-119.693,97.02,43.034
100,38,193.517,112.058,93.107,-46.344,-30.269,126.858
100,39,182.418,104.474,89.001,-153.549,-61.513,90.954
100,40,167.385,210.96,196.625,56.238,-5.404,21.591
100,41,164.027,205.572,195.731,-124.503,-182.215,-88.862
100,42,169.598,207.907,200.97,-169.524,-166.617,-75.407
100,43,178.76,209.59,197.438,28.108,-70.036,-79.235
100,44,168.929,187.065,180.008,53.342,-81.595,-63.578
100,45,179.336,148.72,150.535,-99.074,-111.206,42.418
100,46,166.241,119.003,136.199,-105.189,-16.079,85.39
100,47,178.349,118.672,111.285,-76.337,102.832,27.236
100,48,188.173,106.955,95.623,33.656,2.367,91.492
100,49,177.997,106.608,87.199,-156.694,58.097,39.091
100,50,124.694,150.143,156.295,22.657,-148.772,-132.116
100,51,125.199,157.752,171.258,27.155,-143.624,26.823
100,52,97.29,178.986,154.896,-20.431,45.609,-87.08
100,53,107.817,164.824,157.978,49.656,-95.382,-133.615
100,54,92.631,174.88,182.407,-42.723,42.856,12.671
100,55,139.731,133.62,155.996,13.45,81.042,53.886
100,56,155.496,113.362,144.14,50.045,64.293,38.009
100,57,162.831,90.565,136.333,-109.655,35.952,52.352
100,58,178.312,75.921,128.694,37.943,53.926,-101.841
100,59,179.691,53.864,125.462,-12.465,-33.476,-53.793
100,60,92.106,126.313,132.161,84.727,-42.684,-97.836
100,61,77.068,129.683,135.613,-20.327,-40.628,-113.772
100,62,79.453,123.906,151.15,32.995,-93.224,-28.192
100,63,88.823,132.318,147.595,130.098,-33.648,-121.863
100,64,78.899,162.222,184.525,-74.048,37.199,42.869
100,65,116.855,114.638,148.362,-103.416,-9.024,-59.379
100,66,136.483,102.071,155.012,-65.802,129.655,-86.197
100,67,151.91,79.014,146.012,51.881,24.224,-131.661
